Fecha,Matrícula,Intersección,Infracción,Valor en UR,Multas
2016-12-23,AAG 2397,R Rep De Mexico y Costa Rica,Cruzar o girar con luz roja,5,1
2016-12-23,AAG 2446,L A De Herrera y Av. Rivera,Cruzar o girar con luz roja,5,1
2016-12-25,AAG 2982,Bv. Artigas y 21 De Setiembre,Cruzar o girar con luz roja,5,1
2016-12-23,AAG 3023,Av. Rivera y Av. Luis Ponce,Cruzar o girar con luz roja,5,1
2016-12-25,AAG 3066,Bv. Artigas y Campisteguy,Cruzar o girar con luz roja,5,1
2016-12-25,AAG 3390,R Rep De Mexico y Costa Rica,Cruzar o girar con luz roja,5,1
2016-12-26,AAG 3693,Rambla Ohiggins y 18 De Diciembre,Exceso de velocidad,8,1
2016-12-24,AAG 4309,Rambla M. Gandhi y Solano Garcia,Cruzar o girar con luz roja,5,1
2016-12-16,AAG 5068,R Rep De Mexico y Costa Rica,Cruzar o girar con luz roja,5,1
2016-12-21,AAG 6851,Bv. Artigas y Pedernal,Cruzar o girar con luz roja,5,1
2016-12-25,AAG 7369,Av. Italia y Francisco Simón,Exceso de velocidad,8,1
2016-12-12,AAG 7940,R Rep De Mexico y Costa Rica,Exceso de velocidad,8,1
2016-12-10,AAG 8198,Bv. Artigas y 21 De Setiembre,Exceso de velocidad,8,1
2016-12-24,AAG 8314,Rambla Ohiggins y 18 De Diciembre,Exceso de velocidad,8,1
2016-12-17,AAG 8851,Rambla Ohiggins y 18 De Diciembre,Exceso de velocidad,8,1
2016-12-25,AAG 8956,Av. Gral Flores y D. Aramburu,Exceso de velocidad,8,1
2016-12-17,AAG5483,L A De Herrera y Av. Rivera,Cruzar o girar con luz roja,5,1
2016-12-15,AAG8889,R Rep De Mexico y Costa Rica,Cruzar o girar con luz roja,5,1
2016-12-11,AAH 1755,Bv. Artigas y Campisteguy,Cruzar o girar con luz roja,5,1
2016-12-25,AAH 1959,Av. Rivera y Maria Espinola,Exceso de velocidad,8,1
2016-12-23,AAH 2234,R Rep De Mexico y Costa Rica,Exceso de velocidad,8,1
2016-12-25,AAH 2239,Av. Italia y Mataojo,Exceso de velocidad,8,1
2016-12-21,AAH 2383,R Rep De Mexico y Costa Rica,Cruzar o girar con luz roja,5,1
2016-12-26,AAH 2734,Av. Rivera y Maria Espinola,Exceso de velocidad,8,1
2016-12-23,AAH 3175,R Rep Del Peru y L A De Herrera,Cruzar o girar con luz roja,5,1
2016-12-24,AAH 3596,Bv. Artigas y Pedernal,Exceso de velocidad,8,1
2016-12-22,AAH 4204,Rambla Ohiggins y 18 De Diciembre,Exceso de velocidad,8,1
2016-12-25,AAH 4560,Av. Italia y Mataojo,Cruzar o girar con luz roja,5,1
2016-12-10,AAH 4764,R Rep De Mexico y Costa Rica,Exceso de velocidad,8,1
2016-12-22,AAH 4877,R Rep De Mexico y Costa Rica,Cruzar o girar con luz roja,5,1
2016-12-19,AAH 5618,R Rep De Mexico y Costa Rica,Cruzar o girar con luz roja,5,1
2016-12-23,AAH 5773,Rambla Ohiggins y 18 De Diciembre,Exceso de velocidad,8,1
2016-12-18,AAH 5968,Bv. Artigas y Pedernal,Exceso de velocidad,8,1
2016-12-23,AAH 6075,R Rep De Mexico y Costa Rica,Exceso de velocidad,8,1
2016-12-19,AAH 6895,Rambla Ohiggins y 18 De Diciembre,Exceso de velocidad,8,1
2016-12-20,AAH 7374,Bv. Artigas y Campisteguy,Cruzar o girar con luz roja,5,1
2016-12-24,AAH 7731,Av. Italia y Mataojo,Cruzar o girar con luz roja,5,1
