year,competition,player,team,goals
2013,Clausura 12/13,Rafael García,Fénix,1
2013,Clausura 12/13,Sebastián Sosa,Central Español,1
2013,Clausura 12/13,Nicolás Gard,Progreso,1
2013,Clausura 12/13,Lucas Ontivero,Fénix,1
2013,Clausura 12/13,Carlos García,Racing,1
2013,Clausura 12/13,Diego Arismendi,Nacional,1
2013,Clausura 12/13,Fabricio Formiliano,Danubio,1
2013,Clausura 12/13,Lucas Lencina,Wanderers,1
2013,Clausura 12/13,Matias Santos,Wanderers,1
2013,Clausura 12/13,Jonathan Rodríguez,Cerro,1
2013,Clausura 12/13,Gonzalo Gutierrez,Bella Vista,1
2013,Clausura 12/13,Damián Oscar Luna,Defensor,1
2013,Clausura 12/13,Gaston Minutillo,El Tanque Sisley,1
2013,Clausura 12/13,Rodrigo Miguel Alaniz,Cerro Largo,1
2013,Clausura 12/13,Simón Vanderhoeght,Bella Vista,1
2013,Clausura 12/13,Guido Ezequiel Abayián,Bella Vista,1
2013,Clausura 12/13,Lucas René Olaza Catrofe,River Plate,1
2013,Clausura 12/13,Rodrigo de Olivera,Danubio,1
2013,Clausura 12/13,Carlos De Pena,Nacional,1
2013,Clausura 12/13,Hugo Soria,Danubio,1
2013,Clausura 12/13,Ignacio Gonzalez,Danubio,1
2013,Clausura 12/13,Alvaro Brum,Central Español,1
2013,Clausura 12/13,Gaston Poncet,Juventud,1
2013,Clausura 12/13,Pablo Álvarez,Nacional,1
2013,Clausura 12/13,Walter Fernandez,Progreso,1
2013,Clausura 12/13,Gustavo Bueno,Nacional,1
2013,Clausura 12/13,Matias Appelt,Progreso,1
2013,Clausura 12/13,Juan Ignacio Marcarie,El Tanque Sisley,1
2013,Clausura 12/13,Heber Collazo,Juventud,1
2013,Clausura 12/13,Pablo Lima,El Tanque Sisley,1
2013,Clausura 12/13,Enzo Borges,Cerro Largo,1
2013,Clausura 12/13,Diego Suárez Laxalt,Defensor,1
2013,Clausura 12/13,Emilio Rentería,Defensor,1
2013,Clausura 12/13,Daniel Leites,Cerro Largo,1
2013,Clausura 12/13,Camilo Mayada,Danubio,1
2013,Clausura 12/13,Alejandro Clever Reyes,Juventud,1
2013,Clausura 12/13,Matías Aguirregaray,Peñarol,1
2013,Clausura 12/13,Carlos Richard Díaz,Racing,1
2013,Clausura 12/13,Ricardo Queiro,Progreso,1
2013,Clausura 12/13,Mario Risso,Defensor,1
2013,Clausura 12/13,Rodrigo Brasesco,Racing,1
2013,Clausura 12/13,Álvaro Maximiliano Arias,Liverpool,1
2013,Clausura 12/13,Andrés Ravecca,Cerro,1
2013,Clausura 12/13,Claudio Gastón Innella,River Plate,1
2013,Clausura 12/13,William Klingender,Central Español,1
2013,Clausura 12/13,Darío Antonio Flores,Cerro Largo,1
2013,Clausura 12/13,José Ignacio Pallas,Fénix,1
2013,Clausura 12/13,Héctor Baltasar Silva,Peñarol,1
2013,Clausura 12/13,Jorge Gonzalez,Racing,1
2013,Clausura 12/13,Hernan Menosse,Wanderers,1
2013,Clausura 12/13,Juan José Blanco,Cerro Largo,1
2013,Clausura 12/13,Leonardo Melazzi,Danubio,1
2013,Clausura 12/13,Danilo Javier Peinado,Bella Vista,1
2013,Clausura 12/13,Fabian Trujillo,Cerro,1
2013,Clausura 12/13,Luis Alberto Torrecilla,River Plate,1
2013,Clausura 12/13,Maximiliano Lombardi,Progreso,1
2013,Clausura 12/13,Claudio Martín Dadomo,River Plate,1
2013,Clausura 12/13,Gonzalo Fabián Porras,River Plate,1
2013,Clausura 12/13,Víctor Martín Galain Pecora,El Tanque Sisley,1
2013,Clausura 12/13,Christian Washington Nuñez,Nacional,1
2013,Clausura 12/13,Gonzalo Papa,Fénix,1
2013,Clausura 12/13,Gonzalo Aguilar,Racing,1
2013,Clausura 12/13,Juan Daniel Álvez,Fénix,1
2013,Clausura 12/13,Eduardo Daniel Mieres,Cerro,1
2013,Clausura 12/13,Simón Pagua,Cerro,1
2013,Clausura 12/13,Juan Manuel Ortiz,Fénix,1
2013,Clausura 12/13,Álvaro Damián Navarro,Defensor,1
2013,Clausura 12/13,Darío Rodríguez,Peñarol,1
2013,Clausura 12/13,Marcelo Broli,Juventud,1
2013,Clausura 12/13,Miguel Márquez,Juventud,1
2013,Clausura 12/13,Franco Ariel Sosa,Cerro Largo,1
2013,Clausura 12/13,Michael Santos,River Plate,1
2013,Clausura 12/13,Juan Cruz Mascia,Nacional,1
2013,Clausura 12/13,Federico Platero,Juventud,1
2013,Clausura 12/13,Christian Latorre,Juventud,1
2013,Clausura 12/13,Sebastian Gagnebin,Wanderers,1
2013,Clausura 12/13,Sebastian Gaitan,Progreso,1
2013,Clausura 12/13,Guzmán Pereira,Wanderers,1
2013,Clausura 12/13,Nicolás Albarracin,Wanderers,1
2013,Clausura 12/13,Maximiliano Rodríguez,Wanderers,1
2013,Clausura 12/13,Manuel Fernandez,Racing,1
2013,Clausura 12/13,Mauro Fernández,Peñarol,1
2013,Clausura 12/13,Rodrigo de Oliveira,Cerro Largo,1
2013,Clausura 12/13,Jonathan Barboza,Liverpool,1
2013,Clausura 12/13,Adrián Marcelo Romero,Nacional,1
2013,Clausura 12/13,Facundo Guichón,Racing,1
2013,Clausura 12/13,Ángel Gabriel Cayetano,Danubio,1
2013,Clausura 12/13,Willinton Techera,Fénix,1
2013,Clausura 12/13,Gonzalo Camargo,Juventud,1
2013,Clausura 12/13,Jonathan Iglesias,El Tanque Sisley,1
2013,Clausura 12/13,Juan Ángel Albín,Nacional,1
2013,Clausura 12/13,Carlos Nuñez,Peñarol,1
2013,Clausura 12/13,Bruno Silva Barone,Cerro Largo,1
2013,Clausura 12/13,Matías Vecino,Nacional,1
2013,Clausura 12/13,Gabriel Nicolás Mezquida,Fénix,1
2013,Clausura 12/13,Aureliano Torres,Peñarol,1
2013,Clausura 12/13,Matías Omar Pérez Laborda,Danubio,1
2013,Clausura 12/13,Bruno Piano,El Tanque Sisley,1
2013,Clausura 12/13,Joaquín Burutarán,Central Español,1
2013,Clausura 12/13,Marcelo Andrés Martuciello,Bella Vista,1
2013,Clausura 12/13,Gastón Bueno,Danubio,1
2013,Clausura 12/13,Juan Manuel Morales,El Tanque Sisley,1
2013,Clausura 12/13,Pablo Antonio Pallante,Cerro,1
2013,Clausura 12/13,Israel Damonte,Nacional,1
2013,Clausura 12/13,Javier Cabrera,Wanderers,1
2013,Clausura 12/13,Luis Eduardo Martínez,Danubio,1
2013,Clausura 12/13,Gonzalo Sebastián Vargas,Bella Vista,1
2013,Clausura 12/13,Nicolás Ignacio Vigneri,Fénix,1
2011,Apertura 10/11,Santiago Damián García,Nacional,15
2011,Apertura 10/11,Rodrigo Mora,Defensor,11
2011,Apertura 10/11,Federico Rodríguez,Bella Vista,10
2011,Apertura 10/11,Diego Martin Alonso,Peñarol,9
2011,Apertura 10/11,Alfredo Nicolás Guevara,Rampla Juniors,7
2011,Apertura 10/11,Diego Martiñones,Central Español,7
2011,Apertura 10/11,Leonardo Andrés Medina,Miramar Misiones,6
2011,Apertura 10/11,Federico Puppo,River Plate,6
2011,Apertura 10/11,Maximiliano Callorda,El Tanque Sisley,6
2011,Apertura 10/11,Diego Daniel Vera,Liverpool,6
2011,Apertura 10/11,Diego De Souza,Defensor,5
2011,Apertura 10/11,Sebastián Gaitán,El Tanque Sisley,5
2011,Apertura 10/11,Gastón Puerari,Wanderers,5
2011,Apertura 10/11,Ignacio Risso,Defensor,5
2011,Apertura 10/11,Edison Torres,Wanderers,5
2011,Apertura 10/11,Anderzon Gonzaga,Danubio,5
2011,Apertura 10/11,Diego Martín Scotti,Miramar Misiones,4
2011,Apertura 10/11,Omar Pérez,Cerro,4
2011,Apertura 10/11,Nicolás Ignacio Vigneri,Fénix,4
2011,Apertura 10/11,Maximiliano Pérez,Fénix,4
2011,Apertura 10/11,Emiliano Tellechea,Wanderers,4
2011,Apertura 10/11,Diego Rafael Perrone,Danubio,4
2011,Apertura 10/11,Jean Pierre Barrientos,Racing,4
2011,Apertura 10/11,Matías Britos,Rampla Juniors,4
2011,Apertura 10/11,Ignacio Nicolini,Bella Vista,4
2011,Apertura 10/11,Alejandro Martinuccio,Peñarol,4
2011,Apertura 10/11,Daley Mena,Danubio,3
2011,Apertura 10/11,Martín Cauteruccio,Nacional,3
2011,Apertura 10/11,Sergio Perez,Central Español,3
2011,Apertura 10/11,Gaston Machado,Central Español,3
2011,Apertura 10/11,Ronald Andrés Ramírez,Wanderers,3
2011,Apertura 10/11,Pablo Olivera,River Plate,3
2011,Apertura 10/11,Néstor Emanuel Moiraghi,Rampla Juniors,3
2011,Apertura 10/11,Santiago López Bruzzese,Bella Vista,3
2011,Apertura 10/11,Jonathan Soto,Cerro,3
2011,Apertura 10/11,Hernán Figueredo,Liverpool,2
2011,Apertura 10/11,Mathias Damián Riquero,Danubio,2
2011,Apertura 10/11,Adrián Nicolás Luna,Defensor,2
2011,Apertura 10/11,Damián Malrrechaufe,Danubio,2
2011,Apertura 10/11,Cristian Ortíz,Racing,2
2011,Apertura 10/11,Walter Horacio Peralta,Nacional,2
2011,Apertura 10/11,Aldo Diaz,Tacuarembó,2
2011,Apertura 10/11,Daniel Eduardo Baldi,Bella Vista,2
2011,Apertura 10/11,Hernan Novick,Fénix,2
2011,Apertura 10/11,Matías Omar Pérez Laborda,Danubio,2
2011,Apertura 10/11,Luciano Cardinali,Fénix,2
2011,Apertura 10/11,Alvaro Alejandro Mello,Cerro,2
2011,Apertura 10/11,Pablo Munhoz,El Tanque Sisley,2
2011,Apertura 10/11,Marcelo Fabián Sosa,Peñarol,2
2011,Apertura 10/11,Juan Manuel Morales,El Tanque Sisley,2
2011,Apertura 10/11,Federico Gomez,Racing,2
2011,Apertura 10/11,Darío Larrosa,Racing,2
2011,Apertura 10/11,Christian de Jesús Mejia,Peñarol,2
2011,Apertura 10/11,Santiago Tabarez,Fénix,2
2011,Apertura 10/11,Maximiliano Bajter,Fénix,2
2011,Apertura 10/11,Néstor Fabián Silva,Liverpool,2
2011,Apertura 10/11,Pablo Caballero,Cerro,2
2011,Apertura 10/11,Jorge Zambrana,River Plate,2
2011,Apertura 10/11,Fernando Martín Bonjour,Rampla Juniors,2
2011,Apertura 10/11,Maximiliano Rodriguez,Wanderers,2
2011,Apertura 10/11,Martín Cardozo,Fénix,2
2011,Apertura 10/11,Christian Washington Nuñez,Nacional,2
2011,Apertura 10/11,Eduardo Aranda,Defensor,2
2011,Apertura 10/11,Héctor Fabián Acuña,Miramar Misiones,2
2011,Apertura 10/11,Luis Machado,Tacuarembó,2
2011,Apertura 10/11,Matías Cabrera,Nacional,2
2011,Apertura 10/11,Emiliano Garcia,Cerro,2
2011,Apertura 10/11,Richard Núñez,Rampla Juniors,1
2011,Apertura 10/11,José Pablo Varela,Bella Vista,1
2011,Apertura 10/11,Jonatan Blanes,Liverpool,1
2011,Apertura 10/11,Franco Junior Aliberti,El Tanque Sisley,1
2011,Apertura 10/11,Jonathan Ríos,Bella Vista,1
2011,Apertura 10/11,Washington Camacho,El Tanque Sisley,1
2011,Apertura 10/11,Javier Cabrera,Wanderers,1
2011,Apertura 10/11,Sebastián Palermo,Bella Vista,1
2011,Apertura 10/11,Cleber Janderson Pereira Reis,River Plate,1
2011,Apertura 10/11,Walter Fernando Ibañez,Defensor,1
2011,Apertura 10/11,Sebastian Gaitan,El Tanque Sisley,1
2011,Apertura 10/11,Diego Riolfo,Central Español,1
2011,Apertura 10/11,Diego Seoane,Racing,1
2011,Apertura 10/11,Fabián Estoyanoff,Peñarol,1
2011,Apertura 10/11,Diego Gonzalo Chaves,Nacional,1
2011,Apertura 10/11,Luciano Emilio,Danubio,1
2011,Apertura 10/11,Pablo Antonio Pallante,Cerro,1
2011,Apertura 10/11,Sebastián Fernández,Miramar Misiones,1
2011,Apertura 10/11,Marcos do Nascimento,Tacuarembó,1
2011,Apertura 10/11,Mariano Rubbo,Tacuarembó,1
2011,Apertura 10/11,Gastón Bueno,Central Español,1
2011,Apertura 10/11,Federico Fernandez,Miramar Misiones,1
2011,Apertura 10/11,Rafael García,Rampla Juniors,1
2011,Apertura 10/11,Diego Giménez,Danubio,1
2011,Apertura 10/11,Gustavo Javier Biscayzacu,River Plate,1
2011,Apertura 10/11,Javier Tetes,Bella Vista,1
2011,Apertura 10/11,Nicolás Andrés Nicolay,Central Español,1
2011,Apertura 10/11,Pablo Míguez,Danubio,1
2011,Apertura 10/11,Gonzalo Piriz,Tacuarembó,1
2011,Apertura 10/11,Sebastián Sánchez,Tacuarembó,1
2011,Apertura 10/11,Héctor Matías Dos Santos Bueno,Tacuarembó,1
2011,Apertura 10/11,Damian Suárez,Defensor,1
2011,Apertura 10/11,Juan Daniel Álvez,Liverpool,1
2011,Apertura 10/11,Martín Rodríguez,Liverpool,1
2011,Apertura 10/11,Andrés Rodales,Liverpool,1
2011,Apertura 10/11,Miguel Amado,Defensor,1
2011,Apertura 10/11,César Ceballos,Central Español,1
2011,Apertura 10/11,Francisco Usucar,Central Español,1
2011,Apertura 10/11,Dani Tejera,Racing,1
2011,Apertura 10/11,Guillermo Firpo,Central Español,1
2011,Apertura 10/11,Leonardo Novo,El Tanque Sisley,1
2011,Apertura 10/11,Andrés Pablo Fernández2,Central Español,1
2011,Apertura 10/11,Julián Perujo,Nacional,1
2011,Apertura 10/11,Darío Rodríguez,Peñarol,1
2011,Apertura 10/11,Antonio Pacheco,Peñarol,1
2011,Apertura 10/11,Willinton Techera,Rampla Juniors,1
2011,Apertura 10/11,Mathías Corujo,Peñarol,1
2011,Apertura 10/11,Gerardo Alcoba,Peñarol,1
2011,Apertura 10/11,Carlos Germán Macchi,Liverpool,1
2011,Apertura 10/11,Gerardo Varela,Fénix,1
2011,Apertura 10/11,Fernando Sellanes,Fénix,1
2011,Apertura 10/11,Mauricio Ernesto Pereyra,Nacional,1
2011,Apertura 10/11,Sebastián Coates,Nacional,1
2011,Apertura 10/11,Diego Martín Rodríguez,Defensor,1
2011,Apertura 10/11,Flavio Armando Córdoba,River Plate,1
2011,Apertura 10/11,Rodrigo Sanguinetti,El Tanque Sisley,1
2011,Apertura 10/11,César David Texeira,Defensor,1
2011,Apertura 10/11,Álvaro Recoba,Danubio,1
2011,Apertura 10/11,Sebastián Marcelo Suárez López,Defensor,1
2011,Apertura 10/11,Gaston Giménez,Danubio,1
2011,Apertura 10/11,Guillermo Daniel Rodríguez,Peñarol,1
2011,Apertura 10/11,Danilo Coccaro,Racing,1
2011,Apertura 10/11,Gabriel Alcoba,Central Español,1
2011,Apertura 10/11,Michel Acosta,Liverpool,1
2011,Apertura 10/11,Elias Ricardo Figueroa,Liverpool,1
2011,Apertura 10/11,Cristian Palacios,Peñarol,1
2011,Apertura 10/11,Antonio Fernández,El Tanque Sisley,1
2011,Apertura 10/11,Julián Lalinde,Liverpool,1
2011,Apertura 10/11,Matias Mier,Fénix,1
2011,Apertura 10/11,Matias Jones,Danubio,1
2011,Apertura 10/11,Ricardo Queiro,Cerro,1
